id,source_id,destination_id,timestamp,created_at,n_interpolation_points,step_distance_km,value
149,54,37,2025-03-01T01:57+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.11304583007207897
150,37,16,2025-03-01T01:57+00:00,2025-07-19T11:32:31+00:00,5,328.9480959556589,0.11304583007207897
151,16,20,2025-03-01T19:54+00:00,2025-07-19T11:32:31+00:00,2,1749.8916974753722,0.03047203326464415
152,20,60,2025-03-02T23:45+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.08786391482930125
153,60,14,2025-03-03T04:45+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.05841455554239623
154,14,28,2025-03-03T05:35+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.04926600608402663
155,54,37,2025-03-03T18:18+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.025086962153479813
156,37,16,2025-03-04T05:00+00:00,2025-07-19T11:32:31+00:00,5,328.9480959556589,0.04833762871990519
157,16,20,2025-03-04T12:15+00:00,2025-07-19T11:32:31+00:00,2,1749.8916974753722,0.12564785651534566
158,20,60,2025-03-06T02:03+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.05416670048123605
159,60,14,2025-03-06T04:32+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.039165722796764356
160,14,28,2025-03-06T05:20+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.039165722796764356
161,54,16,2025-02-28T06:23+00:00,2025-07-19T11:32:31+00:00,5,345.64812994681307,0.5
162,16,20,2025-02-28T10:21+00:00,2025-07-19T11:32:31+00:00,2,1749.8916974753722,0.08317269649392235
163,20,60,2025-03-02T23:45+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.08786391482930125
164,60,14,2025-03-03T04:45+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.05841455554239623
165,14,28,2025-03-03T05:37+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.04926600608402663
166,41,18,2025-03-13T01:20+00:00,2025-07-19T11:32:31+00:00,2,422.0462984187269,0.020633297226906194
167,18,17,2025-03-13T06:30+00:00,2025-07-19T11:32:31+00:00,5,228.72966336164345,0.029886679803636237
168,17,45,2025-03-13T14:27+00:00,2025-07-19T11:32:31+00:00,3,1790.4268148254373,0.23147521650098232
169,45,33,2025-03-14T04:02+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
170,33,36,2025-03-14T06:20+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
171,36,28,2025-03-14T10:57+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
172,7,18,2025-04-01T00:26+00:00,2025-07-19T11:32:31+00:00,2,888.0290333311368,0.5
173,18,10,2025-04-01T08:22+00:00,2025-07-19T11:32:31+00:00,2,1463.1842370643592,0.5
174,10,24,2025-04-03T02:44+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.03557118927263617
